Potential Misspelling,Original Text
protaganist,Its a scene where something sad has happened and the protaganist is trying to move on. Very solemn but the background is bright signifying that things will be okay. 
metroid,"When it started, I started thinking about the movie Blade, but a couple of seconds in, it switched to thinking about classic games. I grew up in a family of gamers so this made me think of a scene from like a boss scene in Metroid or the old Doom games, when you just got a power up."
90s,"I thought about Bill & Ted, like when they go on their adventures. Makes me think about the scene where they are traveling through time. This reminded me of movies from the 90s."
satriani,Not sure if this is his music but I thought about Joe Satriani. My mom used to listen to him a lot on the weekends so I thought about sitting in the living room with my siblings while my mom cleans.
nt,"It didn't hit me right away, but this made me think of the game L.A. Noire. Like a scene where the detective is trying to interview the attractive suspect and she is trying to hide the truth."
noire,"It didn't hit me right away, but this made me think of the game L.A. Noire. Like a scene where the detective is trying to interview the attractive suspect and she is trying to hide the truth."
2077,"This one made me smile. Made me think about riding my motorcycle around Night City in Cyberpunk 2077. I'm sorry if I use gaming a lot in my references, but I do game a lot. But this one made me think about how beautiful that game was and how I would love for them to release a sequel."
exboyfriend,My ex-boyfriend's step dad loved the band KISS and he would always play their music in his room and that's exactly what I thought about when I heard this song playing. It brought some sad memories because our relationship didn't end well.
nt,My ex-boyfriend's step dad loved the band KISS and he would always play their music in his room and that's exactly what I thought about when I heard this song playing. It brought some sad memories because our relationship didn't end well.
90s,"This made me think of a 90s TV show, where they are trying to show each character one by one, doing a short scene and with them ending up looking in the camera with a smile or a crazy look. Something like Frasier or Cheers."
tv,"This made me think of a 90s TV show, where they are trying to show each character one by one, doing a short scene and with them ending up looking in the camera with a smile or a crazy look. Something like Frasier or Cheers."
frasier,"This made me think of a 90s TV show, where they are trying to show each character one by one, doing a short scene and with them ending up looking in the camera with a smile or a crazy look. Something like Frasier or Cheers."
nt,"This made me think of the movie Meet Joe Black, made me think specifically of the scene where Brad Pitt and the character that's about to die are talking about his death and Brad Pitt almost looking like he doesn't want to take him."
1900,"For me (especially in the context of a video game), I imagined an early 1900's video game such as LA Noire - following some type of detective or old music scene. It reminds me of an intro from that game in which the character would be smoking and driving an open top Chevy."
noire,"For me (especially in the context of a video game), I imagined an early 1900's video game such as LA Noire - following some type of detective or old music scene. It reminds me of an intro from that game in which the character would be smoking and driving an open top Chevy."
intro,"For me (especially in the context of a video game), I imagined an early 1900's video game such as LA Noire - following some type of detective or old music scene. It reminds me of an intro from that game in which the character would be smoking and driving an open top Chevy."
esque,"When hearing this I pictured a ""Blues Brothers""-esque film in which two cool jazz/blues musicians were being introduced and possibly dancing in some sort of fancy bar. It has a zainy feel to it and denotes to me the idea that the film is going to be lighthearted, family based or comical in nature."
jazzblues,"When hearing this I pictured a ""Blues Brothers""-esque film in which two cool jazz/blues musicians were being introduced and possibly dancing in some sort of fancy bar. It has a zainy feel to it and denotes to me the idea that the film is going to be lighthearted, family based or comical in nature."
zainy,"When hearing this I pictured a ""Blues Brothers""-esque film in which two cool jazz/blues musicians were being introduced and possibly dancing in some sort of fancy bar. It has a zainy feel to it and denotes to me the idea that the film is going to be lighthearted, family based or comical in nature."
dancefloor,"For this one I imagined playing guitar hero in some sort of gaming bar, an I was hitting the guitar solo while there was a massive crowd surrounding us. For some reason I also imagined an arcade dancefloor below us that wasn't being used."
nt,"For this one I imagined playing guitar hero in some sort of gaming bar, an I was hitting the guitar solo while there was a massive crowd surrounding us. For some reason I also imagined an arcade dancefloor below us that wasn't being used."
cafediner,"For this I could imagine an older man with medium length grey hair and glasses, pictured in a cafe/diner with a hot drink with steam coming out, pondering something with serious intent. I could image from this the scene zooms out showing him through the window an a wider shot of the city (which looks like a Gotham/New York type of city) is displayed. It is also raining and dark."
gothamnew,"For this I could imagine an older man with medium length grey hair and glasses, pictured in a cafe/diner with a hot drink with steam coming out, pondering something with serious intent. I could image from this the scene zooms out showing him through the window an a wider shot of the city (which looks like a Gotham/New York type of city) is displayed. It is also raining and dark."
scifi,I imagined a sci-fi like city that showed extremely futuristic buildings an a bunch of flying cars zooming past it. It looks like a small planet that you can see the circle around from the viewpoint. The city is very green and beautiful looking.
rainman,"I imagined a happy scene in an older movie, for some reason ""Rainman"" popped in my head... and the woman from that was the main protagonist in this visual. It shows her in a bar drinking some type of cocktail and watching a jazz band live, with the woman wearing a glamourous and sparkly dress."
resturant,For this I imagined a rag-time like scene in black and white with some comedic aspects going on (in a nice resturant). Similar to the films Laurel and Hardy used to make. A very stereotypical waiter with one hand on a silver dish an a french moustache slipping and dropping drinks and food. It is also shot VERY fast-paced.
fastpaced,For this I imagined a rag-time like scene in black and white with some comedic aspects going on (in a nice resturant). Similar to the films Laurel and Hardy used to make. A very stereotypical waiter with one hand on a silver dish an a french moustache slipping and dropping drinks and food. It is also shot VERY fast-paced.
nt,"Even though I can't recall this song... it gave me great feelings of nostalgia, playing my Nintendo 64 when I was younger. To me I visualised some type of racing game that is set on a beach (this song is the intro for the menu screen), an it features cool characters that look like they came straight from miami vice or surf culture. The cars were sporty and fast."
64,"Even though I can't recall this song... it gave me great feelings of nostalgia, playing my Nintendo 64 when I was younger. To me I visualised some type of racing game that is set on a beach (this song is the intro for the menu screen), an it features cool characters that look like they came straight from miami vice or surf culture. The cars were sporty and fast."
visualised,"Even though I can't recall this song... it gave me great feelings of nostalgia, playing my Nintendo 64 when I was younger. To me I visualised some type of racing game that is set on a beach (this song is the intro for the menu screen), an it features cool characters that look like they came straight from miami vice or surf culture. The cars were sporty and fast."
intro,"Even though I can't recall this song... it gave me great feelings of nostalgia, playing my Nintendo 64 when I was younger. To me I visualised some type of racing game that is set on a beach (this song is the intro for the menu screen), an it features cool characters that look like they came straight from miami vice or surf culture. The cars were sporty and fast."
fastpaced,This felt like a compilation of clips on an advertisement that would show off a streaming platform of some sort. Just a generic fast-paced song that allows the video to go from clip to clip of action films fast.
wwe,To me this felt like playing the old WWE games (2015 and earlier) where they would have metal songs like this on the main menu and cut from famous clips from real WWE events.
2015,To me this felt like playing the old WWE games (2015 and earlier) where they would have metal songs like this on the main menu and cut from famous clips from real WWE events.
wwe,To me this felt like playing the old WWE games (2015 and earlier) where they would have metal songs like this on the main menu and cut from famous clips from real WWE events.
visualised,"Even though there was not one present in the music itself, I visualised a huge orchestra in the background of a man with a saxophone on a HUGE stadium-like stage. The man was lit in limelight and playing with passion. The piano player was also lit up with smaller stage lighting and there was alot of mist in the air (fog machine). The scene featured ALOT of blue lighting, to make it feel as though the orchestra and sax player are underwater."
stadiumlike,"Even though there was not one present in the music itself, I visualised a huge orchestra in the background of a man with a saxophone on a HUGE stadium-like stage. The man was lit in limelight and playing with passion. The piano player was also lit up with smaller stage lighting and there was alot of mist in the air (fog machine). The scene featured ALOT of blue lighting, to make it feel as though the orchestra and sax player are underwater."
alot,"Even though there was not one present in the music itself, I visualised a huge orchestra in the background of a man with a saxophone on a HUGE stadium-like stage. The man was lit in limelight and playing with passion. The piano player was also lit up with smaller stage lighting and there was alot of mist in the air (fog machine). The scene featured ALOT of blue lighting, to make it feel as though the orchestra and sax player are underwater."
alot,"Even though there was not one present in the music itself, I visualised a huge orchestra in the background of a man with a saxophone on a HUGE stadium-like stage. The man was lit in limelight and playing with passion. The piano player was also lit up with smaller stage lighting and there was alot of mist in the air (fog machine). The scene featured ALOT of blue lighting, to make it feel as though the orchestra and sax player are underwater."
retro80,"This sounds like a modern rendition of the old ""Streets of Rage"" games - with the retro/80's feel of the synths and crunchy video-game like drums used. It sounds like it would be a perfect menu song for an 8-bit fighting game like that."
synths,"This sounds like a modern rendition of the old ""Streets of Rage"" games - with the retro/80's feel of the synths and crunchy video-game like drums used. It sounds like it would be a perfect menu song for an 8-bit fighting game like that."
videogame,"This sounds like a modern rendition of the old ""Streets of Rage"" games - with the retro/80's feel of the synths and crunchy video-game like drums used. It sounds like it would be a perfect menu song for an 8-bit fighting game like that."
8bit,"This sounds like a modern rendition of the old ""Streets of Rage"" games - with the retro/80's feel of the synths and crunchy video-game like drums used. It sounds like it would be a perfect menu song for an 8-bit fighting game like that."
visualised,"I visualised being in a fancy resturant wearing a suit, on a date with a beautiful girl - drinking champagne while a jazz pianist is on stage in the near background. I also visualised the colour red alot, probably signifying some type of romantic element to the scene."
resturant,"I visualised being in a fancy resturant wearing a suit, on a date with a beautiful girl - drinking champagne while a jazz pianist is on stage in the near background. I also visualised the colour red alot, probably signifying some type of romantic element to the scene."
visualised,"I visualised being in a fancy resturant wearing a suit, on a date with a beautiful girl - drinking champagne while a jazz pianist is on stage in the near background. I also visualised the colour red alot, probably signifying some type of romantic element to the scene."
colour,"I visualised being in a fancy resturant wearing a suit, on a date with a beautiful girl - drinking champagne while a jazz pianist is on stage in the near background. I also visualised the colour red alot, probably signifying some type of romantic element to the scene."
alot,"I visualised being in a fancy resturant wearing a suit, on a date with a beautiful girl - drinking champagne while a jazz pianist is on stage in the near background. I also visualised the colour red alot, probably signifying some type of romantic element to the scene."
tron,cyberpunk. tron racetrack
crowdsurfing,a scene of a rock concert where people are crowdsurfing and throwing things onstage
1980,ending scene from a 1980's film where the two characters get back together and kiss.
1990,a city street. harlem 1990's
80,ending of a vintage film 80's or 90's on the beach the two characters walk off into the sunset
90,ending of a vintage film 80's or 90's on the beach the two characters walk off into the sunset
adventorous,It felt like the background music for an adventure movie which is showing a montage of an adventorous scene
charachter,When a charachter is deciding to change their ways from negative to positive. it sounds somewhat motivational
thats,The music sounds like a relief. Maybe from a long movie that is full of hardships but finally in the end something good and peaceful happens and thats when the music plays
rockstar,This is very fitting for a concert. Seems like a rockstar playing guitar
romcom,This sounds like an end credit scene from a movie that could either be a comedy or a rom-com
1900s,"As soon as the music started, I thought of a classical game set in the early 1900s. The first game that came to mind was Mafia. That game is set in the 1920s and I loved listening to the old Jazz tunes on the radio. That music is very soothing. I could drive around listening to it for hours."
1920s,"As soon as the music started, I thought of a classical game set in the early 1900s. The first game that came to mind was Mafia. That game is set in the 1920s and I loved listening to the old Jazz tunes on the radio. That music is very soothing. I could drive around listening to it for hours."
20s,"This music sounded like something you would hear in a classical diner as well. Immediately I go back to my early 20s when my friends and I would go to a Dennys at 2 in the morning and hear this kind of music. They would have the jukebox playing, and you could go and pay to have other songs played. It was always great when this style of music was on."
dennys,"This music sounded like something you would hear in a classical diner as well. Immediately I go back to my early 20s when my friends and I would go to a Dennys at 2 in the morning and hear this kind of music. They would have the jukebox playing, and you could go and pay to have other songs played. It was always great when this style of music was on."
2,"This music sounded like something you would hear in a classical diner as well. Immediately I go back to my early 20s when my friends and I would go to a Dennys at 2 in the morning and hear this kind of music. They would have the jukebox playing, and you could go and pay to have other songs played. It was always great when this style of music was on."
intro,"This sounded like intro music to a video game or movie. I feel like I've heard similar music in games especially like Mafia, since that game is set in the early 1900s. I've also heard music like this played in the intro to a movie when they are bringing all of the characters in."
ve,"This sounded like intro music to a video game or movie. I feel like I've heard similar music in games especially like Mafia, since that game is set in the early 1900s. I've also heard music like this played in the intro to a movie when they are bringing all of the characters in."
1900s,"This sounded like intro music to a video game or movie. I feel like I've heard similar music in games especially like Mafia, since that game is set in the early 1900s. I've also heard music like this played in the intro to a movie when they are bringing all of the characters in."
ve,"This sounded like intro music to a video game or movie. I feel like I've heard similar music in games especially like Mafia, since that game is set in the early 1900s. I've also heard music like this played in the intro to a movie when they are bringing all of the characters in."
intro,"This sounded like intro music to a video game or movie. I feel like I've heard similar music in games especially like Mafia, since that game is set in the early 1900s. I've also heard music like this played in the intro to a movie when they are bringing all of the characters in."
nt,"Similar to the last sound that was played, this sounds more like an end-game boss fight in a video game as opposed to something you would hear in a bar. When I think of bar, I don't think of this music. This music also reminds me of being on the final boss of a game, and having to truly lock in to beat the boss."
ve,"My mind instantly went to avenged sevenfold. They were one of my favorite bands growing up, and this sounded exactly like something I've heard before. The guitar solos really gave me an uplifting mood and made me sit up in my chair. I love music like this, especially while working out or driving in the afternoons."
bowser,"Similar to the last tune, my mind shifted halfway into the recording. The first part of the recording sounded like a bowser boss fight in the older mario games. Once the jazz music kicked in, my mind shifted to being in a coffee shop listening to jazz music while drinking coffee."
cardio,"This is the most common music that I listen to when I work out. I instantly start thinking of when I am doing cardio, and syncing the time that I start to speed up to the bass drop. Music like this makes me want to keep going even when I am tired, which is why I love it so much."
alot,"An intense movie scene, alot of action either racing, running or a fight scene"
palyer,Scene at a jazz bar with the palyer in the music and everyone else dancing to the tunes
dj,The DJ bringing everyone to start dancing
minecraft,"At first, until the percussion other than the piano kicked in, it reminded me of ambient music like in Fallout or Minecraft. Once it kicked in, I was reminded of games like Hexic."
hexic,"At first, until the percussion other than the piano kicked in, it reminded me of ambient music like in Fallout or Minecraft. Once it kicked in, I was reminded of games like Hexic."
sleighbells,"The use of the ""sleighbells"" always invokes winter vibes a little. "
oddparents,The instrumentation reminds me of many cartoons I have seen. Fairly OddParents popped into my head especially.
90s,"Very 90s. Clouds, ambient greenery, there are several ""vibes"" I could get from this sample, many interpretations. I thought of those all at different parts."
intro,"It absolutely screamed ""old sitcom intro"" to me, it gave me a bit of a chuckle. Right down to the synth strings, it had all the instrumentation."
synth,"It absolutely screamed ""old sitcom intro"" to me, it gave me a bit of a chuckle. Right down to the synth strings, it had all the instrumentation."
highaction,"I thought of concerts I had attended, and I tried to envision where the piece could fit into a film. Other than credits, it would have to be a high-action part."
80s,I was reminded of when my mom would listen to music when I was little. Things like this would play sometimes. Sounds very close to the 80s stuff.
favourite,Thoughts of kids watching their favourite show from the television.
sitted,Thoughts of a quite place where or in a bar where people are sitted either 2 and the music played is jazz.
2,Thoughts of a quite place where or in a bar where people are sitted either 2 and the music played is jazz.
eletronic,"Thoughts of the steady, full blast eletronic music in a live concert."
butlins,"It immediately made me think of children's entertainment, at somewhere like Butlins where they put on entertainment for the children with masked characters roaming around. I imagined a large room with banquet tables, children running around interacting with different characters."
tron,"It sounded to me like music from a video game, something futuristic like Tron, and the suspense built while I imagined fighting off robots in a futuristic setting."
tv,"I immediately thought of the TV show Stranger Things, of an inspiring fight scene between the protagonists and the villain. Lots of red and orange colours, 80s style clothing and lots of cut scenes to different protagonists winning their portion of the fight."
colours,"I immediately thought of the TV show Stranger Things, of an inspiring fight scene between the protagonists and the villain. Lots of red and orange colours, 80s style clothing and lots of cut scenes to different protagonists winning their portion of the fight."
80s,"I immediately thought of the TV show Stranger Things, of an inspiring fight scene between the protagonists and the villain. Lots of red and orange colours, 80s style clothing and lots of cut scenes to different protagonists winning their portion of the fight."
likeminded,"I imagined myself at a large rock gig, in a huge crowd surrounded by like-minded people, getting lost in the music and the atmosphere. It put a smile on my face and I could imagine exactly how I would feel in that moment."
baloo,"I imagined a children's film like The Jungle Book, with Baloo dancing around joyfully with the other characters in an open area of the jungle."
formalwear,"I imagined a couple in elegant formalwear dancing in a ballroom, surrounded by other couples dancing but looking only into each others' eyes."
80s,"I imagined a scene at the end of an 80s movie, where the main characters of high school age are all dancing together at a dance, with a montage of each character and how their story continued beyond the film."
pacman,I imagined an old school arcade game like Pacman having this in the background as you're playing. An arcade game with a simple and repetitive yet enjoyable premise.
oldschool,I kind get the feeling this type of music is from like an oldschool teenage kicks film. where it plays when some kids go into school.
cafe,Reminds me of some people playing in an old classical scene in a cafe.
intro,"I imagine a scene where in the intro of a cop film, you see a cop card going through traffic in a night time scenario."
mutliple,I'm imaging this music to be playing during a short add about the olympics. Showing mutliple quick different athletes in different sporting enviroments that they partake in.
enviroments,I'm imaging this music to be playing during a short add about the olympics. Showing mutliple quick different athletes in different sporting enviroments that they partake in.
ve,"I've heard similiar music played during video games, mostly as special hidden easter eggs you can activate. A strange thought indeed."
similiar,"I've heard similiar music played during video games, mostly as special hidden easter eggs you can activate. A strange thought indeed."
outro,I get this feeling this would be for an outro of an oldschool teenagers film. Highlighting different characters with the credits rolling.
oldschool,I get this feeling this would be for an outro of an oldschool teenagers film. Highlighting different characters with the credits rolling.
dj,DJ at a concert getting ready to play the big drop after hyping up a crowd with the first section of his song.
tv,To me this is either an add on a tv playing a sports car advert or something like a racing event like the F1
f1,To me this is either an add on a tv playing a sports car advert or something like a racing event like the F1
highaction,"I imagined a 'Boss Battle' type scenario, especially because of the 'typically heard in video games' line. It would be in a dark and gritty setting, possibly with flames and a high-action atmosphere. PRedo"
predo,"I imagined a 'Boss Battle' type scenario, especially because of the 'typically heard in video games' line. It would be in a dark and gritty setting, possibly with flames and a high-action atmosphere. PRedo"
80s,"It reminded me of an 80s style movie, so I imagined a sort of romantic, sunset-like scene with a load of purples and orange hues. It was very American 80s film too, but it also had a film grainy look to it."
sunsetlike,"It reminded me of an 80s style movie, so I imagined a sort of romantic, sunset-like scene with a load of purples and orange hues. It was very American 80s film too, but it also had a film grainy look to it."
80s,"It reminded me of an 80s style movie, so I imagined a sort of romantic, sunset-like scene with a load of purples and orange hues. It was very American 80s film too, but it also had a film grainy look to it."
andor,"I imagined a heist film and/or a noir setting, but a montage of moments as someone is voiceover-ing over the top of it."
noir,"I imagined a heist film and/or a noir setting, but a montage of moments as someone is voiceover-ing over the top of it."
voiceovering,"I imagined a heist film and/or a noir setting, but a montage of moments as someone is voiceover-ing over the top of it."
warmtoned,I imagined a very calm evening in a warm-toned bar with a fair handful of people populating it.
tv,It reminded me of a TV theme song like Frasier so I imagined I was sitting to watch that show
frasier,It reminded me of a TV theme song like Frasier so I imagined I was sitting to watch that show
tv,I could imagine myself watching a TV show or film with my friends or family and seeing a bar scene with similar music playing
nt,I could imagine a landscape of ruins where the world doesn't look the same as it did.
semifancyfancy,"I could imagine a small orchestra with piano, cello and other instruments playing a musical piece as I walk into a semi-fancy/fancy restaurant"
1920s,"I imagined a very packed bar, with everyone dressed in vintage fashion from the 1920s, smoking and drinking and having a good time"
8bit,I imagined an old 8-bit game that takes place in space with a space ship and shooting at other targets 
80,"I imagined the ending of an 80's movie, maybe a comedy or romance movie, and the screen fades to black to show the credits with this song playing in the background"
1930,I imagined people dressed in vintage fashion from the 1930's swing dancing together at some type of party and having a good time
2,"I imagined a fighting style type of game, with 2 people playing against each other and this song playing in the background as the soundtrack to the game"
tv,"I imagined the opening credits to a comedy tv show from the 80's, with each character of the show getting introduced one by one and this song playing in the back as it shows all the characters"
80,"I imagined the opening credits to a comedy tv show from the 80's, with each character of the show getting introduced one by one and this song playing in the back as it shows all the characters"
colourful,"it makes me think of an animated film, it sounds free and colourful"
1940s,it makes me imagine a 1940s army bar with people dancing
warzone,"i imagined that i was entering a type of warzone as a super soldier, the music was there to show me how intense the scene was and was mean't to get me hyped up"
mea,"i imagined that i was entering a type of warzone as a super soldier, the music was there to show me how intense the scene was and was mean't to get me hyped up"
nt,"i imagined that i was entering a type of warzone as a super soldier, the music was there to show me how intense the scene was and was mean't to get me hyped up"
theyre,"the music made me feel calm, like a serious scene just happened in a movie and now the music is playing so the main characters can reflect on the actions that just happened. its a sad scene where theyre pondering on how it affected them and are having flashbacks"
saxaphone,"played during a solo act, the guy with the saxaphone is doing soo well that the whole crowd is exicted and amazed by how well he's playing"
soo,"played during a solo act, the guy with the saxaphone is doing soo well that the whole crowd is exicted and amazed by how well he's playing"
exicted,"played during a solo act, the guy with the saxaphone is doing soo well that the whole crowd is exicted and amazed by how well he's playing"
moshpits,"this is probably playing during a high intense scene of the performance, with everyone screaming an shouting. i imagine headbangers in the crowd and moshpits everywhere"
nt,i imagine that the bar is isn't that filled but the lights are flashing everywhere and the bartenders look overly friendly because its music that they like. the bar isn't overly fancy but it has some nice decorations to it
nt,i imagine that the bar is isn't that filled but the lights are flashing everywhere and the bartenders look overly friendly because its music that they like. the bar isn't overly fancy but it has some nice decorations to it
parkouring,i imagine that it might of been a video game movie based on mario as the music reminded me of mario so the scene might have been upbeat and fast probably to do with some parkouring as its a platformer so jumping onto blocks and ledges etc
platformer,i imagine that it might of been a video game movie based on mario as the music reminded me of mario so the scene might have been upbeat and fast probably to do with some parkouring as its a platformer so jumping onto blocks and ledges etc
etc,i imagine that it might of been a video game movie based on mario as the music reminded me of mario so the scene might have been upbeat and fast probably to do with some parkouring as its a platformer so jumping onto blocks and ledges etc
symbolise,"this is probably played after the player has died. this is calming music with a screen saying ""continue"" in bold with a little light flying around maybe to symbolise the players life flying away if it doesn't agree to continue"
nt,"this is probably played after the player has died. this is calming music with a screen saying ""continue"" in bold with a little light flying around maybe to symbolise the players life flying away if it doesn't agree to continue"
scandanavian,I imagine it being played by some sort of Scandanavian band. Possibly also used in a horror movie.
shounen,Sounds like the opening for a Shounen anime.
scandanavian,Its that Scandanavian band again. I feel this song would be played during a heroic rescue scene
tech,Sounds like the kind of music tech companies play when announcing a new phone.
minecraft,I think this is one of the disks in Minecraft?
definitivly,Definitivly boss fight music. I see a big Grendel type thing.
cafe,"If for a video game, this sounds like music that would play when entering a specific store. Think Cafe L'Blanc from Persona 5."
lblanc,"If for a video game, this sounds like music that would play when entering a specific store. Think Cafe L'Blanc from Persona 5."
5,"If for a video game, this sounds like music that would play when entering a specific store. Think Cafe L'Blanc from Persona 5."
70s,the music sounds very disco techno. so I imagined a 70s retro clubbing scene where people vibe to the music.
elderlies,a chill talking bar for elderlies. 
4,doctor who season 4 (I think?) with donna and the episode where the doctor is facing the invisible monster than copies his speech pattern in a train. the show in the beginning them two in the lobby of hte new planet enjoying their vacation and donna says shes heading to the pool and the doctor goes on a solo trip
hte,doctor who season 4 (I think?) with donna and the episode where the doctor is facing the invisible monster than copies his speech pattern in a train. the show in the beginning them two in the lobby of hte new planet enjoying their vacation and donna says shes heading to the pool and the doctor goes on a solo trip
scify,"sci-fy concert, or scifi shows"
scifi,"sci-fy concert, or scifi shows"
backhround,"video game battle background music, or specifically the backhround music of the arena in a gatcha game"
gatcha,"video game battle background music, or specifically the backhround music of the arena in a gatcha game"
selfreflection,I thought about being mindful and the serenity and peace that comes from self-reflection.
rpg,I pictured a random video game. An RPG.
andor,Scenes of the city. A tropical city like Miami and/or Los Angeles. 
los,Scenes of the city. A tropical city like Miami and/or Los Angeles. 
angeles,Scenes of the city. A tropical city like Miami and/or Los Angeles. 
doomslayer,"It sounds straight from a game like Doom, the Doomslayer is ready to rip and tear into the demonic horde of enemies. "
noir,"A black and white scene in a noir film style. The people are dressed from that early 1900s era, smoking and drinking at a bar."
1900s,"A black and white scene in a noir film style. The people are dressed from that early 1900s era, smoking and drinking at a bar."
8bit,It sounds like the soundtrack to the 8-bit or 16-bit era of gaming. Akin to the likes of a Mega Man or a similar side-scroller.
16bit,It sounds like the soundtrack to the 8-bit or 16-bit era of gaming. Akin to the likes of a Mega Man or a similar side-scroller.
sidescroller,It sounds like the soundtrack to the 8-bit or 16-bit era of gaming. Akin to the likes of a Mega Man or a similar side-scroller.
operalike,"A sensual romantic scene with two lovers connecting. Also, I can picture the instrumentalists playing on stage in an opera-like setting."
3d,"I could see this being used in a 3D Sonic The Hedgehog game oddly enough. I also felt myself playing the guitar and shredding it up right along with the band on stage or the studio, performing."
2d,I could see this being used in a 2D game of recent memory. Then I also picture a music video from the 1980s. Very soulful.
1980s,I could see this being used in a 2D game of recent memory. Then I also picture a music video from the 1980s. Very soulful.
castlevania,I could see it being played and I could see it being used in a soundtrack for a game like Castlevania. Haunting in a way.
90s,It made me think of fighting games and 90s and very fast paced action movies that evoke adrenaline feeling and shock. It makes me want to dance too. 
noire,"Made me think of detective movies and crime movies as well as games like LA noire, black and white 50s style with detectives with hats and mysteries you have to solve. Reminds me of puzzle games."
50s,"Made me think of detective movies and crime movies as well as games like LA noire, black and white 50s style with detectives with hats and mysteries you have to solve. Reminds me of puzzle games."
2000s,"Makes me think of the clubs in 2000s as well as shows from 2000s that were about teenagers or queer life, very exciting and it takes me back to better times when I did not have work or responsibilities."
2000s,"Makes me think of the clubs in 2000s as well as shows from 2000s that were about teenagers or queer life, very exciting and it takes me back to better times when I did not have work or responsibilities."
50s,Makes me think of seductive women movies and those mysterious 50s movies where they solve crimes as well. It is very secretive and fun
emo,Made me think of my emo days growing up when I would listen to bands like Black Veil Brides and other 2010s music. A fun time when I had a lot of hang outs with friends
2010s,Made me think of my emo days growing up when I would listen to bands like Black Veil Brides and other 2010s music. A fun time when I had a lot of hang outs with friends
80s,"It made me think of dance movies from the 80s or the credits to movies from 90s or 80s, the rom coms and other comedy movies. "
90s,"It made me think of dance movies from the 80s or the credits to movies from 90s or 80s, the rom coms and other comedy movies. "
80s,"It made me think of dance movies from the 80s or the credits to movies from 90s or 80s, the rom coms and other comedy movies. "
coms,"It made me think of dance movies from the 80s or the credits to movies from 90s or 80s, the rom coms and other comedy movies. "
80s,Made me think of 80s movies and comedies again. Club music from America and the fun parties.
3d,Made me think of those games where it is 3d and you can kill little characters. They are fun and a lot of the games I played growing up as well. 
nt,"My first imagination when the notes hit was Pink Panther. He was cautious in a scene, but then suddenly became all jaunty due to the increase of saxophone. His back wasn't crouched as before and now he style of walk is very enthusiastic like a cartoon."
5,"This jazzy music is making me think of Persona 5 where the jazz music is quite prominent as its style. You, as the main character, is benched at a bar with your fellow classmates and team members while listening to the calm and cooling jazz ost. As the mc, you chat with your friends and hang out."
ost,"This jazzy music is making me think of Persona 5 where the jazz music is quite prominent as its style. You, as the main character, is benched at a bar with your fellow classmates and team members while listening to the calm and cooling jazz ost. As the mc, you chat with your friends and hang out."
mc,"This jazzy music is making me think of Persona 5 where the jazz music is quite prominent as its style. You, as the main character, is benched at a bar with your fellow classmates and team members while listening to the calm and cooling jazz ost. As the mc, you chat with your friends and hang out."
eurovision,"When I heard the saxophone despite its despondent tone, I thought about the Saxophone man. The dude who appears in Eurovision and is quite famous. I don't know why he appeared in my thoughts so prominently, but he exists and is making the same motions with his own saxophone while being melodramatic."
nt,"When I heard the saxophone despite its despondent tone, I thought about the Saxophone man. The dude who appears in Eurovision and is quite famous. I don't know why he appeared in my thoughts so prominently, but he exists and is making the same motions with his own saxophone while being melodramatic."
forza,"When the first note appeared, it reminded me of racing games like Forza. I imagine controlling the car while the music gets all hyped up. I am making actions like swerving the car and drifting like it is one of those Fast and Furious movies."
7,I am reminded of a scene in Final Fantasy 7 Remake and Rebirth. There was a scene where it is just Cloud and Tifa at Seventh Heaven and it is just those two bantering with slight flirtiness hinted.
tifa,I am reminded of a scene in Final Fantasy 7 Remake and Rebirth. There was a scene where it is just Cloud and Tifa at Seventh Heaven and it is just those two bantering with slight flirtiness hinted.
flirtiness,I am reminded of a scene in Final Fantasy 7 Remake and Rebirth. There was a scene where it is just Cloud and Tifa at Seventh Heaven and it is just those two bantering with slight flirtiness hinted.
1990,It reminded me of Contra. Or the old school retro games people play at the arcades back in the 1990's to early 2000's. I could see the main character uses his arm gun and shoot at enemies while they approach. I could also see different people at the arcade playing other types of games like Pacman and DDR.
2000,It reminded me of Contra. Or the old school retro games people play at the arcades back in the 1990's to early 2000's. I could see the main character uses his arm gun and shoot at enemies while they approach. I could also see different people at the arcade playing other types of games like Pacman and DDR.
pacman,It reminded me of Contra. Or the old school retro games people play at the arcades back in the 1990's to early 2000's. I could see the main character uses his arm gun and shoot at enemies while they approach. I could also see different people at the arcade playing other types of games like Pacman and DDR.
ddr,It reminded me of Contra. Or the old school retro games people play at the arcades back in the 1990's to early 2000's. I could see the main character uses his arm gun and shoot at enemies while they approach. I could also see different people at the arcade playing other types of games like Pacman and DDR.
castlevania,Vampires. Just like Castlevania even though I never saw or know what it is about. But the one thing I know about Castlevania is the Dracula/Vampire. I imagine a darkened evening with black trees in the background. Black bats are flying up in the air towards the castle that is looming in the distance. You can barely see the slightest hint of a cape through the windows.
castlevania,Vampires. Just like Castlevania even though I never saw or know what it is about. But the one thing I know about Castlevania is the Dracula/Vampire. I imagine a darkened evening with black trees in the background. Black bats are flying up in the air towards the castle that is looming in the distance. You can barely see the slightest hint of a cape through the windows.
